Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,1.550000,1.580000,1.530000,1.560000,1.560000,117300
2018-05-25,1.600000,1.600000,1.540000,1.590000,1.590000,88700
2018-05-29,1.560000,1.570000,1.510000,1.510000,1.510000,105000
2018-05-30,1.520000,1.570000,1.510000,1.530000,1.530000,33900
2018-05-31,1.530000,1.550000,1.500000,1.530000,1.530000,83400
2018-06-01,1.530000,1.570000,1.510000,1.530000,1.530000,97800
2018-06-04,1.550000,1.550000,1.480000,1.510000,1.510000,185100
2018-06-05,1.520000,1.610000,1.510000,1.580000,1.580000,161800
2018-06-06,1.550000,1.570000,1.500000,1.530000,1.530000,54400
2018-06-07,1.560000,1.560000,1.530000,1.550000,1.550000,19500
2018-06-08,1.540000,1.590000,1.490000,1.520000,1.520000,309100
2018-06-11,1.530000,1.560000,1.500000,1.530000,1.530000,114300
2018-06-12,1.520000,1.540000,1.480000,1.510000,1.510000,81400
2018-06-13,1.500000,1.520000,1.470000,1.510000,1.510000,95600
2018-06-14,1.500000,1.520000,1.460000,1.480000,1.480000,78500
2018-06-15,1.480000,1.500000,1.470000,1.470000,1.470000,21300
2018-06-18,1.480000,1.490000,1.410000,1.460000,1.460000,70700
2018-06-19,1.430000,1.460000,1.420000,1.420000,1.420000,59000
2018-06-20,1.440000,2.740000,1.420000,2.200000,2.200000,8825800
2018-06-21,2.000000,2.070000,1.710000,1.720000,1.720000,1537500
2018-06-22,1.730000,1.830000,1.700000,1.720000,1.720000,354700
2018-06-25,1.720000,1.720000,1.580000,1.640000,1.640000,218500
2018-06-26,1.640000,1.700000,1.560000,1.630000,1.630000,109900
2018-06-27,1.620000,1.660000,1.610000,1.610000,1.610000,47600
2018-06-28,1.600000,1.770000,1.590000,1.680000,1.680000,231200
2018-06-29,1.700000,1.730000,1.590000,1.620000,1.620000,300400
2018-07-02,1.620000,1.690000,1.600000,1.660000,1.660000,155300
2018-07-03,1.680000,1.690000,1.650000,1.660000,1.660000,61900
2018-07-05,1.670000,1.720000,1.630000,1.680000,1.680000,199300
2018-07-06,1.680000,1.790000,1.680000,1.720000,1.720000,231000
2018-07-09,1.800000,1.840000,1.740000,1.770000,1.770000,274400
2018-07-10,1.790000,1.870000,1.760000,1.810000,1.810000,141500
2018-07-11,1.810000,1.850000,1.760000,1.780000,1.780000,97900
2018-07-12,1.780000,1.820000,1.760000,1.780000,1.780000,41600
2018-07-13,1.780000,1.790000,1.770000,1.770000,1.770000,23600
2018-07-16,1.770000,1.810000,1.750000,1.750000,1.750000,95600
2018-07-17,1.760000,1.790000,1.710000,1.730000,1.730000,132700
2018-07-18,1.730000,1.780000,1.710000,1.740000,1.740000,72500
2018-07-19,1.770000,1.840000,1.720000,1.760000,1.760000,181400
2018-07-20,1.790000,1.840000,1.760000,1.830000,1.830000,61000
2018-07-23,1.900000,1.980000,1.830000,1.900000,1.900000,296000
2018-07-24,2.000000,2.000000,1.890000,1.900000,1.900000,124300
2018-07-25,1.910000,1.960000,1.900000,1.940000,1.940000,83600
2018-07-26,1.950000,1.960000,1.880000,1.950000,1.950000,92200
2018-07-27,1.950000,2.250000,1.910000,2.100000,2.100000,889400
2018-07-30,2.300000,2.300000,1.810000,1.840000,1.840000,699700
2018-07-31,1.830000,1.860000,1.710000,1.720000,1.720000,197300
2018-08-01,1.720000,1.840000,1.710000,1.760000,1.760000,110300
2018-08-02,1.760000,1.770000,1.720000,1.770000,1.770000,57100
2018-08-03,1.780000,1.790000,1.750000,1.760000,1.760000,18700
2018-08-06,1.760000,1.780000,1.690000,1.700000,1.700000,119900
2018-08-07,1.690000,1.720000,1.600000,1.690000,1.690000,167400
2018-08-08,1.680000,1.690000,1.630000,1.650000,1.650000,63900
2018-08-09,1.660000,1.710000,1.650000,1.710000,1.710000,33600
2018-08-10,1.710000,1.740000,1.680000,1.680000,1.680000,38800
2018-08-13,1.690000,1.740000,1.680000,1.680000,1.680000,48300
2018-08-14,1.700000,1.720000,1.660000,1.710000,1.710000,76600
2018-08-15,1.600000,1.610000,1.430000,1.500000,1.500000,335200
2018-08-16,1.570000,1.570000,1.440000,1.480000,1.480000,93700
2018-08-17,1.440000,1.460000,1.420000,1.450000,1.450000,100500
2018-08-20,1.420000,1.530000,1.420000,1.470000,1.470000,59400
2018-08-21,1.490000,1.530000,1.470000,1.500000,1.500000,65400
2018-08-22,1.500000,1.640000,1.500000,1.610000,1.610000,580300
2018-08-23,1.630000,1.730000,1.520000,1.520000,1.520000,287000
2018-08-24,1.560000,1.600000,1.470000,1.530000,1.530000,225600
2018-08-27,1.530000,1.550000,1.480000,1.480000,1.480000,105700
2018-08-28,1.520000,1.520000,1.480000,1.490000,1.490000,75500
2018-08-29,1.500000,1.510000,1.450000,1.470000,1.470000,99200
2018-08-30,1.470000,1.480000,1.430000,1.450000,1.450000,90300
2018-08-31,1.460000,1.560000,1.450000,1.540000,1.540000,355100
2018-09-04,1.510000,1.620000,1.440000,1.550000,1.550000,592800
2018-09-05,1.530000,1.570000,1.470000,1.500000,1.500000,130100
2018-09-06,1.500000,1.530000,1.500000,1.510000,1.510000,63500
2018-09-07,1.500000,1.520000,1.450000,1.510000,1.510000,86800
2018-09-10,1.510000,1.520000,1.450000,1.450000,1.450000,37100
2018-09-11,1.450000,1.510000,1.450000,1.460000,1.460000,63000
2018-09-12,1.500000,1.540000,1.500000,1.540000,1.540000,104000
2018-09-13,1.550000,1.550000,1.500000,1.520000,1.520000,40800
2018-09-14,1.500000,1.630000,1.500000,1.520000,1.520000,174200
2018-09-17,1.550000,1.650000,1.460000,1.570000,1.570000,103500
2018-09-18,1.500000,1.550000,1.490000,1.500000,1.500000,62300
2018-09-19,1.480000,1.550000,1.480000,1.510000,1.510000,33000
2018-09-20,1.520000,1.570000,1.520000,1.550000,1.550000,67600
2018-09-21,1.560000,1.660000,1.530000,1.610000,1.610000,428300
2018-09-24,1.610000,1.610000,1.520000,1.550000,1.550000,69300
2018-09-25,1.540000,1.560000,1.520000,1.550000,1.550000,31900
2018-09-26,1.560000,1.560000,1.530000,1.560000,1.560000,44200
2018-09-27,1.550000,1.550000,1.510000,1.510000,1.510000,73200
2018-09-28,1.510000,1.540000,1.510000,1.530000,1.530000,42100
2018-10-01,1.560000,1.560000,1.520000,1.550000,1.550000,32100
2018-10-02,1.550000,1.590000,1.520000,1.560000,1.560000,55700
2018-10-03,1.570000,1.570000,1.530000,1.570000,1.570000,20500
2018-10-04,1.540000,1.570000,1.510000,1.510000,1.510000,18100
2018-10-05,1.510000,1.530000,1.500000,1.530000,1.530000,17300
2018-10-08,1.510000,1.530000,1.500000,1.510000,1.510000,11000
2018-10-09,1.500000,1.540000,1.460000,1.500000,1.500000,36000
2018-10-10,1.490000,1.510000,1.460000,1.480000,1.480000,39900
2018-10-11,1.480000,1.540000,1.470000,1.540000,1.540000,37800
2018-10-12,1.540000,1.540000,1.450000,1.450000,1.450000,21400
2018-10-15,1.490000,1.500000,1.450000,1.490000,1.490000,11900
2018-10-16,1.490000,1.550000,1.460000,1.490000,1.490000,52400
2018-10-17,1.500000,1.520000,1.490000,1.510000,1.510000,27000
2018-10-18,1.500000,1.520000,1.460000,1.500000,1.500000,27000
2018-10-19,1.500000,1.500000,1.460000,1.470000,1.470000,25500
2018-10-22,1.540000,1.560000,1.480000,1.550000,1.550000,77800
2018-10-23,1.530000,1.530000,1.480000,1.500000,1.500000,29400
2018-10-24,1.510000,1.510000,1.470000,1.480000,1.480000,31100
2018-10-25,1.500000,1.510000,1.410000,1.490000,1.490000,49200
2018-10-26,1.490000,1.540000,1.480000,1.530000,1.530000,24000
2018-10-29,1.520000,1.520000,1.450000,1.450000,1.450000,24400
2018-10-30,1.460000,1.470000,1.430000,1.470000,1.470000,36600
2018-10-31,1.490000,1.500000,1.460000,1.460000,1.460000,16200
2018-11-01,1.510000,1.510000,1.470000,1.500000,1.500000,44500
2018-11-02,1.520000,1.520000,1.470000,1.470000,1.470000,22000
2018-11-05,1.460000,1.500000,1.450000,1.480000,1.480000,9300
2018-11-06,1.500000,1.500000,1.460000,1.480000,1.480000,5800
2018-11-07,1.500000,1.500000,1.470000,1.490000,1.490000,40900
2018-11-08,1.500000,1.570000,1.480000,1.510000,1.510000,196300
